様式 2-1. (空調) 空調ゾーン入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
室の仕様,,,,,,,空調ゾーン,,空調機群名称,,⑤
①,①,①,①,①,①,①,②,②,③,④,
階,室名,建物用途,室用途,室面積,階高,天井高,階,空調ゾーン名,室負荷処理,外気負荷処理,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,(転記),(転記),
,,,,,,,,,,,
12F,ミーティングブース1,学校等,事務室,45,8.4,6.9,12F,ミーティングブース1,OHU-7,OHU-7,
12F,ラウンジ6,学校等,教室（大学）,14.3,4.2,2.7,12F,ラウンジ6,ACP-D4a,ACP-D4a,
12F,ラウンジ6流し,学校等,事務室,0.9,4.2,2.7,12F,ラウンジ6流し,ACP-D4a,ACP-D4a,
12F,非EVロビー兼用付室,学校等,教室（大学）,25,4.2,2.7,12F,非EVロビー兼用付室,ACP-EV5a,ACP-EV5a,
13F,院生共同研究室1301,学校等,研究室,125,4.2,2.7,13F,院生共同研究室1301,OHU-7,OHU-7,
13F,院生用共同研究室1302,学校等,研究室,25,4.2,2.7,13F,院生用共同研究室1302,OHU-7,OHU-7,
13F,印刷コピー室1303,学校等,研究室,24,4.2,2.7,13F,印刷コピー室1303,OHU-7,OHU-7,
13F,院生協議会室1304,学校等,研究室,51,4.2,2.7,13F,院生協議会室1304,OHU-7,OHU-7,
13F,院生用共同研究室1305,学校等,研究室,30,4.2,2.7,13F,院生用共同研究室1305,OHU-7,OHU-7,
13F,ディスカッションコーナー3,学校等,事務室,25,4.2,2.7,13F,ディスカッションコーナー3,OHU-7,OHU-7,
13F,院生用共同研究室1306,学校等,研究室,30,4.2,2.7,13F,院生用共同研究室1306,OHU-7,OHU-7,
13F,院生用共同研究室1307,学校等,研究室,25,4.2,2.7,13F,院生用共同研究室1307,OHU-7,OHU-7,
13F,院生用共同研究室1308,学校等,研究室,25,4.2,2.7,13F,院生用共同研究室1308,OHU-7,OHU-7,
13F,院生用共同研究室1309,学校等,研究室,22,4.2,2.7,13F,院生用共同研究室1309,OHU-7,OHU-7,
13F,ラウンジ6,学校等,教室（大学）,14.3,4.2,2.7,13F,ラウンジ6,ACP-D4a,ACP-D4a,
13F,ラウンジ6流し,学校等,事務室,0.9,4.2,2.7,13F,ラウンジ6流し,ACP-D4a,ACP-D4a,
13F,非EVロビー兼用付室,学校等,教室（大学）,25,4.2,2.7,13F,非EVロビー兼用付室,ACP-EV5a,ACP-EV5a,
14F,院生共同研究室1401,学校等,研究室,125,4.2,2.7,14F,院生共同研究室1401,OHU-7,OHU-7,
14F,大学院共同演習室1402,学校等,研究室,50,4.2,2.7,14F,大学院共同演習室1402,OHU-7,OHU-7,
14F,院生用共同研究室1403,学校等,研究室,51,4.2,2.7,14F,院生用共同研究室1403,OHU-7,OHU-7,
14F,院生用共同研究室1404,学校等,研究室,25,4.2,2.7,14F,院生用共同研究室1404,OHU-7,OHU-7,
14F,院生用共同研究室1405,学校等,研究室,25,4.2,2.7,14F,院生用共同研究室1405,OHU-7,OHU-7,
14F,院生用共同研究室1406,学校等,研究室,25,4.2,2.7,14F,院生用共同研究室1406,OHU-7,OHU-7,
14F,院生用共同研究室1407,学校等,研究室,25,4.2,2.7,14F,院生用共同研究室1407,OHU-7,OHU-7,
14F,院生用共同研究室1408,学校等,研究室,25,4.2,2.7,14F,院生用共同研究室1408,OHU-7,OHU-7,
14F,院生用共同研究室1409,学校等,研究室,25,4.2,2.7,14F,院生用共同研究室1409,OHU-7,OHU-7,
14F,院生用共同研究室1410,学校等,研究室,22,4.2,2.7,14F,院生用共同研究室1410,OHU-7,OHU-7,
14F,共通談話室,学校等,事務室,44,12.7,10,14F,共通談話室,OHU-7,OHU-7,
14F,ラウンジ6,学校等,教室（大学）,14.3,4.2,2.7,14F,ラウンジ6,ACP-D4a,ACP-D4a,
14F,ラウンジ6流し,学校等,事務室,0.9,4.2,2.7,14F,ラウンジ6流し,ACP-D4a,ACP-D4a,
14F,非EVロビー兼用付室,学校等,教室（大学）,25,4.2,2.7,14F,非EVロビー兼用付室,ACP-EV5a,ACP-EV5a,
15F,院生共同研究室1501,学校等,研究室,88,4.2,2.7,15F,院生共同研究室1501,OHU-7,OHU-7,
15F,院生用共同研究室1502,学校等,研究室,25,4.2,2.7,15F,院生用共同研究室1502,OHU-7,OHU-7,
15F,大学院共同研究室1503,学校等,研究室,50,4.2,2.7,15F,大学院共同研究室1503,OHU-7,OHU-7,
15F,院生用共同研究室1504,学校等,研究室,51,4.2,2.7,15F,院生用共同研究室1504,OHU-7,OHU-7,
15F,院生用共同研究室1505,学校等,研究室,25,4.2,2.7,15F,院生用共同研究室1505,OHU-7,OHU-7,
15F,院生用共同研究室1506,学校等,研究室,25,4.2,2.7,15F,院生用共同研究室1506,OHU-7,OHU-7,
15F,院生用共同研究室1507,学校等,研究室,25,4.2,2.7,15F,院生用共同研究室1507,OHU-7,OHU-7,
15F,院生用共同研究室1508,学校等,研究室,25,4.2,2.7,15F,院生用共同研究室1508,OHU-7,OHU-7,
15F,院生用共同研究室1509,学校等,研究室,25,4.2,2.7,15F,院生用共同研究室1509,OHU-7,OHU-7,
15F,院生用共同研究室1510,学校等,研究室,25,4.2,2.7,15F,院生用共同研究室1510,OHU-7,OHU-7,
15F,院生用共同研究室1511,学校等,研究室,22,4.2,2.7,15F,院生用共同研究室1511,OHU-7,OHU-7,
