様式 4-1. (給湯)給湯対象室入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
①,①,①,①,①,②,③,④,,,,
,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,給湯箇所,節湯器具,給湯機器名称,,,,
,,,,,（給湯栓設置箇所）,,,,,,
,,,,[㎡],,,,,,,
(転記),(転記),(転記),(転記),(転記),,(選択),(選択),,,,
,,,,,,,,,,,
,,,,,,有,EHW-1-11b,,,,
,,,,,,有,EHW-2-11a,,,,
11F,大学院共同演習室1102,学校等,研究室,50,,有,EHW-1-11a,,,,
,,,,,,有,EHW-1-11b,,,,
,,,,,,有,EHW-2-11a,,,,
11F,院生用共同演習室1103,学校等,研究室,51,,有,EHW-1-11a,,,,
,,,,,,有,EHW-1-11b,,,,
,,,,,,有,EHW-2-11a,,,,
11F,院生用共同演習室1104,学校等,研究室,25,,有,EHW-1-11a,,,,
,,,,,,有,EHW-1-11b,,,,
,,,,,,有,EHW-2-11a,,,,
11F,院生用共同演習室1105,学校等,研究室,25,,有,EHW-1-11a,,,,
,,,,,,有,EHW-1-11b,,,,
,,,,,,有,EHW-2-11a,,,,
11F,院生用共同演習室1106,学校等,研究室,25,,有,EHW-1-11a,,,,
,,,,,,有,EHW-1-11b,,,,
,,,,,,有,EHW-2-11a,,,,
11F,院生用共同演習室1107,学校等,研究室,25,,有,EHW-1-11a,,,,
,,,,,,有,EHW-1-11b,,,,
,,,,,,有,EHW-2-11a,,,,
11F,院生用共同演習室1108,学校等,研究室,25,,有,EHW-1-11a,,,,
,,,,,,有,EHW-1-11b,,,,
,,,,,,有,EHW-2-11a,,,,
11F,院生用共同演習室1109,学校等,研究室,25,,有,EHW-1-11a,,,,
,,,,,,有,EHW-1-11b,,,,
,,,,,,有,EHW-2-11a,,,,
11F,院生用共同演習室1110,学校等,研究室,22,,有,EHW-1-11a,,,,
,,,,,,有,EHW-1-11b,,,,
,,,,,,有,EHW-2-11a,,,,
12F,院生共同研究室1201,学校等,研究室,125,,有,EHW-1-12a,,,,
,,,,,,有,EHW-1-12b,,,,
,,,,,,有,EHW-2-12a,,,,
12F,大学院共同演習室1202,学校等,研究室,50,,有,EHW-1-12a,,,,
,,,,,,有,EHW-1-12b,,,,
,,,,,,有,EHW-2-12a,,,,
12F,院生用共同研究室1203,学校等,研究室,51,,有,EHW-1-12a,,,,
,,,,,,有,EHW-1-12b,,,,
,,,,,,有,EHW-2-12a,,,,
12F,院生用共同研究室1204,学校等,研究室,30,,有,EHW-1-12a,,,,
,,,,,,有,EHW-1-12b,,,,
,,,,,,有,EHW-2-12a,,,,
12F,ディスカッションコーナー3,学校等,事務室,25,,有,EHW-1-12a,,,,
