様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
?,?,②,②,③,④,⑤,⑥,⑥,⑥,⑥,⑦
,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,階高,天井高,空調計算対象室,換気計算対象室,給湯計算対象室,照明計算対象室,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
,,(選択),(選択),,,,(選択),(選択),(選択),(選択),
,,,,,,,,,,,
12F,ミーティングブース1,学校等,事務室,45,8.4,6.9,■,,■,,
12F,倉庫3,学校等,湯沸室等,6,4.2,2.7,,■,■,,
12F,ゴミコーナー1,学校等,ゴミ置場等,1.8,4.2,2.7,,■,■,,
12F,ラウンジ6,学校等,大学教室,14.3,4.2,2.7,■,,■,,
12F,ラウンジ6流し,学校等,事務室,0.9,4.2,2.7,■,,■,,
12F,非EVロビー兼用付室,学校等,大学教室,25,4.2,2.7,■,,■,,
12F,男WC4,学校等,便所,18,4.2,2.4,,■,■,,
12F,女WC4,学校等,便所,22,4.2,2.4,,■,■,,
13F,院生共同研究室1301,学校等,研究室,125,4.2,2.7,■,,■,■,
13F,院生用共同研究室1302,学校等,研究室,25,4.2,2.7,■,,■,■,
13F,印刷コピー室1303,学校等,研究室,24,4.2,2.7,■,,■,■,
13F,院生協議会室1304,学校等,研究室,51,4.2,2.7,■,,■,■,
13F,院生用共同研究室1305,学校等,研究室,30,4.2,2.7,■,,■,■,
13F,ディスカッションコーナー3,学校等,事務室,25,4.2,2.7,■,,■,■,
13F,院生用共同研究室1306,学校等,研究室,30,4.2,2.7,■,,■,■,
13F,院生用共同研究室1307,学校等,研究室,25,4.2,2.7,■,,■,■,
13F,院生用共同研究室1308,学校等,研究室,25,4.2,2.7,■,,■,■,
13F,院生用共同研究室1309,学校等,研究室,22,4.2,2.7,■,,■,■,
13F,倉庫3,学校等,湯沸室等,6,4.2,2.7,,■,■,,
13F,ゴミコーナー1,学校等,ゴミ置場等,1.8,4.2,2.7,,■,■,,
13F,ラウンジ6,学校等,大学教室,14.3,4.2,2.7,■,,■,,
13F,ラウンジ6流し,学校等,事務室,0.9,4.2,2.7,■,,■,,
13F,非EVロビー兼用付室,学校等,大学教室,25,4.2,2.7,■,,■,,
13F,男WC4,学校等,便所,18,4.2,2.4,,■,■,,
13F,女WC4,学校等,便所,22,4.2,2.4,,■,■,,
14F,院生共同研究室1401,学校等,研究室,125,4.2,2.7,■,,■,■,
14F,大学院共同演習室1402,学校等,研究室,50,4.2,2.7,■,,■,■,
14F,院生用共同研究室1403,学校等,研究室,51,4.2,2.7,■,,■,■,
14F,院生用共同研究室1404,学校等,研究室,25,4.2,2.7,■,,■,■,
14F,院生用共同研究室1405,学校等,研究室,25,4.2,2.7,■,,■,■,
14F,院生用共同研究室1406,学校等,研究室,25,4.2,2.7,■,,■,■,
14F,院生用共同研究室1407,学校等,研究室,25,4.2,2.7,■,,■,■,
14F,院生用共同研究室1408,学校等,研究室,25,4.2,2.7,■,,■,■,
14F,院生用共同研究室1409,学校等,研究室,25,4.2,2.7,■,,■,■,
14F,院生用共同研究室1410,学校等,研究室,22,4.2,2.7,■,,■,■,
14F,共通談話室,学校等,事務室,44,12.7,10,■,,■,,
14F,倉庫3,学校等,湯沸室等,6,4.2,2.7,,■,■,,
14F,ゴミコーナー1,学校等,ゴミ置場等,1.8,4.2,2.7,,■,■,,
14F,ラウンジ6,学校等,大学教室,14.3,4.2,2.7,■,,■,,
14F,ラウンジ6流し,学校等,事務室,0.9,4.2,2.7,■,,■,,
14F,非EVロビー兼用付室,学校等,大学教室,25,4.2,2.7,■,,■,,
14F,男WC4,学校等,便所,18,4.2,2.4,,■,■,,
14F,女WC4,学校等,便所,22,4.2,2.4,,■,■,,
15F,院生共同研究室1501,学校等,研究室,88,4.2,2.7,■,,■,■,
15F,院生用共同研究室1502,学校等,研究室,25,4.2,2.7,■,,■,■,
15F,大学院共同研究室1503,学校等,研究室,50,4.2,2.7,■,,■,■,
15F,院生用共同研究室1504,学校等,研究室,51,4.2,2.7,■,,■,■,
15F,院生用共同研究室1505,学校等,研究室,25,4.2,2.7,■,,■,■,
15F,院生用共同研究室1506,学校等,研究室,25,4.2,2.7,■,,■,■,
15F,院生用共同研究室1507,学校等,研究室,25,4.2,2.7,■,,■,■,
15F,院生用共同研究室1508,学校等,研究室,25,4.2,2.7,■,,■,■,
15F,院生用共同研究室1509,学校等,研究室,25,4.2,2.7,■,,■,■,
15F,院生用共同研究室1510,学校等,研究室,25,4.2,2.7,■,,■,■,
