様式 2-1. (空調) 空調ゾーン入力シート,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
室の仕様,,,,,,,空調ゾーン,,空調機群名称,
①,①,①,①,①,①,①,②,②,③,④
階,室名,建物用途,室用途,室面積,階高,天井高,階,空調ゾーン名,室負荷処理,外気負荷処理
,,,,,,,,,,
,,,,[㎡],[m],[m],,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,(転記),(転記)
,,,,,,,,,,
6F,客室S24,ホテル等,客室,12.6,3.8,2.6,6F,客室S24,FCU3-624,OHU-6
6F,客室W01,ホテル等,客室,23.4,3.8,2.6,6F,客室W01,FCU4-601,OHU-6
6F,客室W02,ホテル等,客室,23.4,3.8,2.6,6F,客室W02,FCU4-602,OHU-6
6F,客室W03,ホテル等,客室,23.4,3.8,2.6,6F,客室W03,FCU4-603,OHU-6
6F,客室W04,ホテル等,客室,23.4,3.8,2.6,6F,客室W04,FCU4-604,OHU-6
6F,客室W05,ホテル等,客室,23.4,3.8,2.6,6F,客室W05,FCU4-605,OHU-6
6F,客室W06,ホテル等,客室,23.4,3.8,2.6,6F,客室W06,FCU4-606,OHU-6
6F,客室W07,ホテル等,客室,23.4,3.8,2.6,6F,客室W07,FCU4-607,OHU-6
6F,客室W08,ホテル等,客室,23.4,3.8,2.6,6F,客室W08,FCU4-608,OHU-6
6F,客室W09,ホテル等,客室,23.4,3.8,2.6,6F,客室W09,FCU4-609,OHU-6
6F,客室W10,ホテル等,客室,23.4,3.8,2.6,6F,客室W10,FCU4-610,OHU-6
6F,客室W11,ホテル等,客室,23.4,3.8,2.6,6F,客室W11,FCU4-611,OHU-6
6F,客室W12,ホテル等,客室,23.4,3.8,2.6,6F,客室W12,FCU4-612,OHU-6
6F,客室W13,ホテル等,客室,23.4,3.8,2.6,6F,客室W13,FCU4-613,OHU-6
6F,客室W14,ホテル等,客室,23.4,3.8,2.6,6F,客室W14,FCU4-614,OHU-6
6F,客室W15,ホテル等,客室,23.4,3.8,2.6,6F,客室W15,FCU4-615,OHU-6
6F,客室W16,ホテル等,客室,23.4,3.8,2.6,6F,客室W16,FCU4-616,OHU-6
6F,客室W17,ホテル等,客室,23.4,3.8,2.6,6F,客室W17,FCU4-617,OHU-6
6F,客室W18,ホテル等,客室,23.4,3.8,2.6,6F,客室W18,FCU4-618,OHU-6
6F,客室W19,ホテル等,客室,23.4,3.8,2.6,6F,客室W19,FCU4-619,OHU-6
6F,客室W20,ホテル等,客室,23.4,3.8,2.6,6F,客室W20,FCU4-620,OHU-6
7F,EVホール,ホテル等,終日利用される廊下,24,3.8,2.6,7F,EVホール,FCU2-7,OHU-7
7F,リネン室,ホテル等,更衣室又は倉庫,21,3.8,2.4,7F,リネン室,FCU1-7,OHU-7
7F,客室S01,ホテル等,客室,12.6,3.8,2.6,7F,客室S01,FCU3-701,OHU-7
